"SourceUrl","SourcePath","FinalUrl","Status","ContentType","Title","H1","SourceType","CrawlAction","NewAction","NewTarget","Bucket","Note"
"https://www.arctic-spas.cz/virivka-mckinley.php","/virivka-mckinley.php","https://www.arctic-spas.cz/virivka-mckinley.php","200","text/html","Vířivka McKinley - Arctic Spas - řada Classic","Venkovní vířivka McKinley","product_hot_tub","migrate_product","migrate_product","/product/mckinley/","product_hot_tub","Active hot tub product in the WordPress product CPT."
"https://www.arctic-spas.cz/virivka-mustang.php","/virivka-mustang.php","https://www.arctic-spas.cz/virivka-mustang.php","200","text/html","Vířivka Mustang - Arctic Spas - řada Classic","Venkovní vířivka Mustang","product_hot_tub","migrate_product","migrate_product","/product/mustang/","product_hot_tub","Active hot tub product in the WordPress product CPT."
"https://www.arctic-spas.cz/virivka-orca.php","/virivka-orca.php","https://www.arctic-spas.cz/arctic-virivky.php#core","200","text/html","Venkovní vířivky Arctic Spas","Venkovní vířivky Arctic Spas","retired","redirect_only","redirect_retired","/virivky/","retired_product","Retired product; do not create an active product page."
"https://www.arctic-spas.cz/virivka-orion.php","/virivka-orion.php","https://www.arctic-spas.cz/virivka-orion.php","200","text/html","Vířivka Orion - Arctic Spas - řada Core","Venkovní vířivka Orion","product_hot_tub","migrate_product","migrate_product","/product/orion/","product_hot_tub","Active hot tub product in the WordPress product CPT."
"https://www.arctic-spas.cz/virivka-summit.php","/virivka-summit.php","https://www.arctic-spas.cz/virivka-summit.php","200","text/html","Vířivka Summit - Arctic Spas - řada Custom","Venkovní vířivka Summit","product_hot_tub","migrate_product","migrate_product","/product/summit/","product_hot_tub","Active hot tub product in the WordPress product CPT."
"https://www.arctic-spas.cz/virivka-summit-xl.php","/virivka-summit-xl.php","https://www.arctic-spas.cz/virivka-summit-xl.php","200","text/html","Vířivka Summit XL - Arctic Spas - řada Custom","Venkovní vířivka Summit XL","product_hot_tub","migrate_product","migrate_product","/product/summit-xl/","product_hot_tub","Active hot tub product in the WordPress product CPT."
"https://www.arctic-spas.cz/virivka-timberwolf.php","/virivka-timberwolf.php","https://www.arctic-spas.cz/virivka-timberwolf.php","200","text/html","Vířivka Timberwolf - Arctic Spas - řada Classic","Venkovní vířivka Timberwolf","product_hot_tub","migrate_product","migrate_product","/product/timberwolf/","product_hot_tub","Active hot tub product in the WordPress product CPT."
"https://www.arctic-spas.cz/virivka-totem.php","/virivka-totem.php","https://www.arctic-spas.cz/virivka-totem.php","200","text/html","Vířivka Totem - Arctic Spas - řada Classic","Venkovní vířivka Totem","product_hot_tub","migrate_product","migrate_product","/product/totem/","product_hot_tub","Active hot tub product in the WordPress product CPT."
"https://www.arctic-spas.cz/virivka-tundra.php","/virivka-tundra.php","https://www.arctic-spas.cz/virivka-tundra.php","200","text/html","Vířivka Tundra - Arctic Spas - řada Custom","Venkovní vířivka Tundra","product_hot_tub","migrate_product","migrate_product","/product/tundra/","product_hot_tub","Active hot tub product in the WordPress product CPT."
"https://www.arctic-spas.cz/virivka-yukon.php","/virivka-yukon.php","https://www.arctic-spas.cz/virivka-yukon.php","200","text/html","Vířivka Yukon - Arctic Spas - řada Custom","Venkovní vířivka Yukon","product_hot_tub","migrate_product","migrate_product","/product/yukon/","product_hot_tub","Active hot tub product in the WordPress product CPT."
"https://www.arctic-spas.cz/virivky-arctic-jako-prvni.php","/virivky-arctic-jako-prvni.php","https://www.arctic-spas.cz/virivky-arctic-jako-prvni.php","200","text/html","Prvenství - Arctic Spas","Arctic jako první","content_page","review_migrate_page","redirect_consolidated","/virivky/","content_redirect","Consolidated into an existing Figma page or product/category page."
"https://www.arctic-spas.cz/virivky-dreammaker.php","/virivky-dreammaker.php","https://www.arctic-spas.cz/virivky-dreammaker.php","200","text/html","Vířivky Dream Maker Spas","Vířivky Dream Maker Spas","retired","redirect_only","redirect_retired","/virivky/","retired_product","Retired product; do not create an active product page."
"https://www.arctic-spas.cz/vodopad.php","/vodopad.php","https://www.arctic-spas.cz/vodopad.php","200","text/html","Vodopád - vířivky Arctic Spas","Zážitkový vodopád","content_page","review_migrate_page","redirect_consolidated","/virivky/","content_redirect","Consolidated into an existing Figma page or product/category page."
"https://www.arctic-spas.cz/vodopad-core.php","/vodopad-core.php","https://www.arctic-spas.cz/vodopad-core.php","200","text/html","Vodopád - vířivky Arctic Spas","Zážitkový vodopád","content_page","review_migrate_page","redirect_consolidated","/virivky/","content_redirect","Consolidated into an existing Figma page or product/category page."
"https://www.arctic-spas.cz/zaruka.php","/zaruka.php","https://www.arctic-spas.cz/zaruka.php","200","text/html","Záruky - Arctic Spas","Záruka","content_page","review_migrate_page","redirect_consolidated","/zaruka/","content_redirect","Consolidated into an existing Figma page or product/category page."
"https://www.arctic-spas.cz/zasady-zpracovani-osobnich-udaju.php","/zasady-zpracovani-osobnich-udaju.php","https://www.arctic-spas.cz/zasady-zpracovani-osobnich-udaju.php","200","text/html","Zásady zpracování osobních údajů","Zásady zpracování a ochrany osobních údajů","content_page","review_migrate_page","redirect_consolidated","/ochrana-osobnich-udaju/","content_redirect","Consolidated into an existing Figma page or product/category page."
"https://www.arctic-spas.cz/zvedak-termokrytu.php","/zvedak-termokrytu.php","https://www.arctic-spas.cz/zvedak-termokrytu.php","200","text/html","Zvedáky a držáky krytů vířivek","Zvedák - držák termokrytu","content_page","review_migrate_page","redirect_consolidated","/product/prislusenstvi-a-doplnky/","content_redirect","Consolidated into an existing Figma page or product/category page."
